[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.0
allRedTime,1.5
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,01/19/2021
ScenarioTime,6:17 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,726,-3221,0,,,,,,
2,1,4045,-3213,0,,,,,,
3,0,933,-3222,0,,,,,,
4,1,934,-3043,0,,,,,,
5,1,932,-3413,0,,,,,,
6,0,1263,-3223,0,,,,,,
7,1,1268,-2958,0,,,,,,
8,1,1257,-3510,0,,,,,,
9,0,1588,-3231,0,,,,,,
10,1,1590,-2952,0,,,,,,
11,1,1579,-3506,0,,,,,,
12,0,1910,-3225,0,,,,,,
13,1,1906,-2892,0,,,,,,
14,1,1913,-3515,0,,,,,,
15,1,2154,-2703,0,,,,,,
16,0,2150,-3220,0,,,,,,
17,0,2817,-3236,0,,,,,,
Median,10,0,,,,,
Offset,10,0,,,,,
TWLTL,10,0,,,,,
Crosswalk Width,10,16,,,,,
Mandatory Distance,10,200,,,,,
Mandatory Distance2,10,1101,,,,,
Positioning Distance,10,734,,,,,
Positioning Distance2,10,1468,,,,,
Curve Pt X,10,,,,,,
Curve Pt Y,10,,,,,,
Curve Pt Z,10,,,,,,
Link Is Hidden,10,false,,,,,
Street Name Is Hidden,10,false,,,,,
Up ID,11,,9,,,,
Lanes,11,,0,,,,
Name,11,,7th Ave S,,,,
Distance,11,,275,,,,
Speed,11,,25,,,,
Time,11,,7.5,,,,
Grade,11,,0,,,,
Median,11,,0,,,,
Offset,11,,0,,,,
TWLTL,11,,0,,,,
Crosswalk Width,11,,16,,,,
Mandatory Distance,11,,200,,,,
Mandatory Distance2,11,,1101,,,,
Positioning Distance,11,,734,,,,
Positioning Distance2,11,,1468,,,,
Curve Pt X,11,,,,,,
Curve Pt Y,11,,,,,,
Curve Pt Z,11,,,,,,
Link Is Hidden,11,,false,,,,
Street Name Is Hidden,11,,false,,,,
Up ID,12,14,13,9,16,,
Lanes,12,1,1,2,2,,
Name,12,8th Ave S,8th Ave S,,,,
Distance,12,290,333,322,240,,
