[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NW,SE
Positioning Distance2,13,444.4,,,,,
Curve Pt X,13,,,,,,
Curve Pt Y,13,,,,,,
Curve Pt Z,13,,,,,,
Link Is Hidden,13,false,,,,,
Street Name Is Hidden,13,false,,,,,
Up ID,14,,12,,,,
Lanes,14,,1,,,,
Name,14,,8th Ave S,,,,
Distance,14,,88.4,,,,
Speed,14,,40,,,,
Time,14,,8.0,,,,
Grade,14,,0,,,,
Median,14,,0.0,,,,
Offset,14,,0.0,,,,
TWLTL,14,,0,,,,
Crosswalk Width,14,,4.9,,,,
Mandatory Distance,14,,60.0,,,,
Mandatory Distance2,14,,333.3,,,,
Positioning Distance,14,,222.2,,,,
Positioning Distance2,14,,444.4,,,,
Curve Pt X,14,,,,,,
Curve Pt Y,14,,,,,,
Curve Pt Z,14,,,,,,
Link Is Hidden,14,,false,,,,
Street Name Is Hidden,14,,false,,,,
Up ID,15,16,,,,,
Lanes,15,0,,,,,
Name,15,I5 SB Off,,,,,
Distance,15,157.6,,,,,
Speed,15,40,,,,,
Time,15,14.2,,,,,
Grade,15,0,,,,,
Median,15,0.0,,,,,
Offset,15,0.0,,,,,
TWLTL,15,0,,,,,
Crosswalk Width,15,4.9,,,,,
Mandatory Distance,15,60.0,,,,,
Mandatory Distance2,15,333.3,,,,,
Positioning Distance,15,222.2,,,,,
Positioning Distance2,15,444.4,,,,,
Curve Pt X,15,,,,,,
Curve Pt Y,15,,,,,,
Curve Pt Z,15,,,,,,
Link Is Hidden,15,false,,,,,
Street Name Is Hidden,15,false,,,,,
Up ID,16,,15,12,24,,
Lanes,16,,2,2,2,,
Name,16,,I5 SB Off,,,,
Distance,16,,157.6,73.1,165.2,,
Speed,16,,56,40,40,,
Time,16,,10.1,6.6,14.9,,
Grade,16,,0,0,0,,
Median,16,,3.7,0.0,0.0,,
Offset,16,,0.0,0.0,0.0,,
TWLTL,16,,0,0,0,,
Crosswalk Width,16,,4.9,4.9,4.9,,
Mandatory Distance,16,,101.3,101.3,101.3,,
Mandatory Distance2,16,,466.8,333.3,333.3,,
Positioning Distance,16,,311.2,222.2,222.2,,
Positioning Distance2,16,,622.4,444.4,444.4,,
Curve Pt X,16,,,,,,
Curve Pt Y,16,,,,,,
Curve Pt Z,16,,,,,,
Link Is Hidden,16,,false,false,false,,
Street Name Is Hidden,16,,false,false,false,,
Up ID,17,25,,24,2,,
Lanes,17,0,,2,2,,
Name,17,,,,,,
Distance,17,25.3,,38.2,374.4,,
Speed,17,40,,40,40,,
Time,17,2.3,,3.4,33.7,,
Grade,17,0,,0,0,,
Median,17,0.0,,3.7,3.7,,
Offset,17,0.0,,0.0,0.0,,
TWLTL,17,0,,0,0,,
Crosswalk Width,17,4.9,,4.9,4.9,,
Mandatory Distance,17,145.6,,145.6,145.6,,
Mandatory Distance2,17,333.3,,333.3,333.3,,
Positioning Distance,17,222.2,,222.2,222.2,,
Positioning Distance2,17,444.4,,444.4,444.4,,
Curve Pt X,17,,,,,,
Curve Pt Y,17,,,,,,
Curve Pt Z,17,,,,,,
Link Is Hidden,17,false,,false,false,,
Street Name Is Hidden,17,false,,false,false,,
Up ID,18,,,,,,25
Lanes,18,,,,,,*1
Name,18,,,,,,
Distance,18,,,,,,55.9
Speed,18,,,,,,40
Time,18,,,,,,5.0
Grade,18,,,,,,0
Median,18,,,,,,0.0
Offset,18,,,,,,0.0
TWLTL,18,,,,,,0
Crosswalk Width,18,,,,,,4.9
Mandatory Distance,18,,,,,,60.0
Mandatory Distance2,18,,,,,,333.3
Positioning Distance,18,,,,,,222.2
Positioning Distance2,18,,,,,,444.4
Curve Pt X,18,,,,,,
Curve Pt Y,18,,,,,,
Curve Pt Z,18,,,,,,
Link Is Hidden,18,,,,,,false
Street Name Is Hidden,18,,,,,,false
Up ID,19,24,,,,,
Lanes,19,0,,,,,
Name,19,,,,,,
Distance,19,125.3,,,,,
Speed,19,40,,,,,
Time,19,11.3,,,,,
Grade,19,0,,,,,
Median,19,0.0,,,,,
Offset,19,0.0,,,,,
TWLTL,19,0,,,,,
Crosswalk Width,19,4.9,,,,,
Mandatory Distance,19,60.0,,,,,
Mandatory Distance2,19,333.3,,,,,
Positioning Distance,19,222.2,,,,,
Positioning Distance2,19,444.4,,,,,
Curve Pt X,19,,,,,,
Curve Pt Y,19,,,,,,
Curve Pt Z,19,,,,,,
Link Is Hidden,19,false,,,,,
Street Name Is Hidden,19,false,,,,,
Up ID,20,21,,,,,
Lanes,20,0,,,,,
Name,20,,,,,,
Distance,20,158.3,,,,,
Speed,20,40,,,,,
Time,20,14.2,,,,,
Grade,20,0,,,,,
Median,20,0.0,,,,,
Offset,20,0.0,,,,,
TWLTL,20,0,,,,,
Crosswalk Width,20,4.9,,,,,
Mandatory Distance,20,60.0,,,,,
Mandatory Distance2,20,333.3,,,,,
Positioning Distance,20,222.2,,,,,
Positioning Distance2,20,444.4,,,,,
Curve Pt X,20,,,,,,
Curve Pt Y,20,,,,,,
Curve Pt Z,20,,,,,,
Link Is Hidden,20,false,,,,,
Street Name Is Hidden,20,false,,,,,
Up ID,21,22,20,,,,
Lanes,21,0,0,,,,
Name,21,,,,,,
Distance,21,61.1,158.3,,,,
Speed,21,40,40,,,,
Time,21,5.5,14.2,,,,
Grade,21,0,0,,,,
Median,21,0.0,0.0,,,,
Offset,21,0.0,0.0,,,,
TWLTL,21,0,0,,,,
Crosswalk Width,21,4.9,4.9,,,,
Mandatory Distance,21,30.0,30.0,,,,
Mandatory Distance2,21,333.3,333.3,,,,
Positioning Distance,21,222.2,222.2,,,,
Positioning Distance2,21,444.4,444.4,,,,
Curve Pt X,21,,,,,,
Curve Pt Y,21,,,,,,
Curve Pt Z,21,,,,,,
Link Is Hidden,21,false,false,,,,
Street Name Is Hidden,21,false,false,,,,
Up ID,22,,21,,,,
Lanes,22,,0,,,,
Name,22,,,,,,
Distance,22,,61.1,,,,
Speed,22,,40,,,,
Time,22,,5.5,,,,
Grade,22,,0,,,,
Median,22,,0.0,,,,
Offset,22,,0.0,,,,
TWLTL,22,,0,,,,
Crosswalk Width,22,,4.9,,,,
Mandatory Distance,22,,60.0,,,,
Mandatory Distance2,22,,333.3,,,,
Positioning Distance,22,,222.2,,,,
Positioning Distance2,22,,444.4,,,,
Curve Pt X,22,,,,,,
Curve Pt Y,22,,,,,,
Curve Pt Z,22,,,,,,
Link Is Hidden,22,,false,,,,
Street Name Is Hidden,22,,false,,,,
Up ID,23,,24,,,,
Lanes,23,,0,,,,
Name,23,,I5 NB Off,,,,
Distance,23,,107.8,,,,
Speed,23,,40,,,,
Time,23,,9.7,,,,
Grade,23,,0,,,,
Median,23,,3.7,,,,
Offset,23,,0.0,,,,
TWLTL,23,,0,,,,
Crosswalk Width,23,,4.9,,,,
Mandatory Distance,23,,60.0,,,,
Mandatory Distance2,23,,333.3,,,,
Positioning Distance,23,,222.2,,,,
Positioning Distance2,23,,444.4,,,,
Curve Pt X,23,,,,,,
Curve Pt Y,23,,,,,,
Curve Pt Z,23,,,,,,
